"Fiscal Year","Unique Identifier","Deal Number",Decision,"Decision Date","Effective Date","Expiration Date",Brokered,"Deal Cancelled",Country,Program,"Policy Type","Decision Authority","Primary Export Product NAICS/SIC code","Product Description",Term,"Primary Applicant","Primary Lender","Primary Exporter","Primary Exporter City","Primary Exporter State Code","Primary Exporter State Name","Primary Borrower","Primary Source of Repayment (PSOR)","Working Capital Delegated Authority","Approved/Declined Amount","Disbursed/Shipped Amount","Undisbursed Exposure Amount","Outstanding Exposure Amount","Small Business Authorized Amount","Woman Owned Authorized Amount","Minority Owned Authorized Amount","Loan Interest Rate","Multiyear Working Capital Extension",effective_date_01
2007,08003048XA0002,AP003048AA,Approved,1900-01-01,1900-01-01,1900-01-01,No,No,"Private Export Funding Corp.",Guarantee,N/A,Board,NULL,N/A,"Long Term","Private Export Funding Corporation","Private Export Funding Corporation",N/A,N/A,N/A,N/A,"Private Export Funding Corporation","Various Us Companies",,24500000,24500000,0,0,0,0,0,N/A,,NULL
2007,08003048XA0003,AP003048AA,Approved,2006-11-29,2006-11-29,2006-11-29,No,No,"Private Export Funding Corp.",Guarantee,N/A,Board,NULL,N/A,"Long Term","Private Export Funding Corporation","Private Export Funding Corporation",N/A,N/A,N/A,N/A,"Private Export Funding Corporation","Various Us Companies",,50000000,50000000,0,0,0,0,0,N/A,,NULL
2007,08003048XA0004,AP003048AA,Approved,2007-08-16,2007-08-16,2007-08-16,No,No,"Private Export Funding Corp.",Guarantee,N/A,Board,NULL,N/A,"Long Term","Private Export Funding Corporation","Private Export Funding Corporation",N/A,N/A,N/A,N/A,"Private Export Funding Corporation","Various Us Companies",,136250000,136250000,0,0,0,0,0,N/A,,NULL
2007,08064737XM0001,AP064737XM,Approved,2007-09-21,2007-09-21,2007-09-21,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5088,"Transportation Equipment and Supplies - Except Moto","Short Term","Bank Of America N.A.","Bank Of America N.A.","American General Supplies",Gaithersburg,MD,Maryland,"American General Supplies","American General Supplies",Yes,2700000,2700000,0,0,2700000,0,2700000,N/A,,NULL
2007,08069888XG0003,AP069888XG,Approved,2006-11-24,2006-11-24,2006-11-24,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3546,"Power-Driven Handtools","Short Term","Ups Capital Business Credit","Ups Capital Business Credit","Kell-Strom Tool Co Inc",Wethersfield,CT,Connecticut,"Kell-Strom Tool Co Inc","Kell-Strom Tool Co Inc",Yes,233307.9,233307.9,0,0,0,0,0,N/A,,NULL
2007,08069888XG0004,AP069888XG,Approved,2007-03-09,2007-03-09,2007-03-09,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3546,"Power-Driven Handtools","Short Term","Ups Capital Business Credit","Ups Capital Business Credit","Kell-Strom Tool Co Inc",Wethersfield,CT,Connecticut,"Kell-Strom Tool Co Inc","Kell-Strom Tool Co Inc",Yes,233307.9,233307.9,0,0,233308,233308,0,N/A,,NULL
2007,08070062XH0002,AP070062XH,Approved,2006-10-01,2006-10-01,2006-10-01,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3531,"Construction Machinery and Equipment","Short Term","Ups Capital Business Credit","Ups Capital Business Credit","Numa Tool Co",Thompson,CT,Connecticut,"Numa Tool Co","Numa Tool Co",Yes,1080000,1080000,0,0,0,0,0,N/A,,NULL
2007,08070062XI0001,AP070062XI,Approved,2007-02-12,2007-02-12,2007-02-12,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3531,"Construction Machinery and Equipment","Short Term","Ups Capital Business Credit","Ups Capital Business Credit","Numa Tool Co",Thompson,CT,Connecticut,"Numa Tool Co","Numa Tool Co",Yes,1080000,1080000,0,0,1080000,0,1080000,N/A,,NULL
2007,08071060XJ0001,AP071060XJ,Approved,2007-04-13,2007-04-13,2007-04-13,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",424910,"Farm Supplies Merchant Wholesalers","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank N.A.","Calaway Trading Inc",Ellensburg,WA,Washington,"Calaway Trading Inc","Calaway Trading Inc",Yes,5400000,5400000,0,0,5400000,0,0,N/A,,NULL
2007,08072367XI0001,AP072367XI,Approved,2007-01-29,2007-01-29,2007-01-29,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",321999,"All Other Miscellaneous Wood Product Manufacturing","Short Term","Manufacturers And Traders Trust Company","Manufacturers And Traders Trust Company","Global Hardwoods, Inc",Oakland,MD,Maryland,"Global Hardwoods, Inc","Global Hardwoods, Inc",Yes,630000,630000,0,0,630000,0,0,N/A,,NULL
2007,08073082XJ0001,AP073082XJ,Approved,2007-04-16,2007-04-16,2007-04-16,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3563,"Air and Gas Compressors","Short Term","Peoples Bank","Peoples Bank","Norwalk Compressor Company, Inc.",Norwalk,CT,Connecticut,"Norwalk Compressor Company, Inc.","Norwalk Compressor Company, Inc.",Yes,675000,675000,0,0,675000,0,0,N/A,,NULL
2007,08074512XF0003,AP074512XF,Approved,2007-01-26,2007-01-26,2007-01-26,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",3533,"Oil and Gas Field Machinery and Equipment","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank Na","Duhn Oil Tool Inc",Bakersfield,CA,California,"Duhn Oil Tool Inc","Duhn Oil Tool Inc",Yes,1800000,1800000,0,0,1800000,0,0,N/A,,NULL
2007,08074512XG0001,AP074512XG,Approved,2007-07-25,2007-07-25,2007-07-25,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",333132,"Oil and Gas Field Machinery and Equipment Manufacturing","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank Na","Duhn Oil Tool Inc",Bakersfield,CA,California,"Duhn Oil Tool Inc","Duhn Oil Tool Inc",Yes,7200000,7200000,0,0,7200000,0,0,N/A,,NULL
2007,08074960XH0001,AP074960XH,Approved,2007-08-27,2007-08-27,2007-08-27,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5064,"Electrical Appliances - Television and Radio Sets","Short Term","Gbc International Bank","Gbc International Bank","Lan Diamond Inc",Arcadia,CA,California,"Lan Diamond Inc","Lan Diamond Inc",Yes,2520000,2520000,0,0,2520000,2520000,2520000,N/A,,NULL
2007,08075258XG0001,AP075258XG,Approved,2006-12-01,2006-12-01,2006-12-01,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5172,"Petroleum and Petroleum Products Wholesalers - Exce","Short Term","Frost National Bank","Frost National Bank","Elare Partners Ltd","San Antonio",TX,Texas,"Elare Partners Ltd","Elare Partners Ltd",Yes,6300000,6300000,0,0,6300000,0,6300000,N/A,,NULL
2007,08075467XF0003,AP075467XF,Approved,2006-10-12,2006-10-12,2006-10-12,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5039,"Construction Materials - NEC","Short Term","Bankatlantic A Federal Sav Bnk","Bankatlantic A Federal Sav Bnk","Panexus Corp",Miami,FL,Florida,"Panexus Corp","Panexus Corp",Yes,900000,900000,0,0,0,0,0,N/A,,NULL
2007,08075771XE0002,AP075771XE,Approved,2007-09-10,2007-09-10,2007-09-10,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5147,"Meats and Meat Products","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank Texas Na","Agri-West International Inc","San Antonio",TX,Texas,"Agri-West International Inc","Agri-West International Inc",Yes,1350000,1350000,0,0,1350000,0,0,N/A,,NULL
2007,08076375XG0001,AP076375XG,Approved,2007-08-24,2007-08-24,2007-08-24,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment ","Short Term","Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Ohm International Corporation",Houston,TX,Texas,"Ohm International Corporation","Ohm International Corporation",Yes,3150000,3150000,0,0,3150000,0,0,N/A,,NULL
2007,08076435XE0003,AP076435XE,Approved,2007-09-18,2007-09-18,2007-09-18,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5159,"Farm-Product Raw Materials - NEC","Short Term","JPMORGAN CHASE BANK NA","JPMORGAN CHASE BANK NA","Pelts & Skins Export Limited",Kenner,LA,Louisiana,"Pelts & Skins Export Limited","Pelts & Skins Export Limited",Yes,6469616.24,6469616.24,0,0,6469616,0,0,N/A,,NULL
2007,08077059XG0001,AP077059XG,Approved,2007-04-10,2007-04-10,2007-04-10,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",5088,"Transportation Equipment and Supplies - Except Moto","Short Term","Greater Bay Bancorp Inc","Greater Bay Bank, N.A","Hansair Logistics Inc","Lake Forest",CA,California,"Hansair Logistics Inc","Hansair Logistics Inc",Yes,4410000,4410000,0,0,4410000,0,0,N/A,,NULL
2007,08077066XE0001,AP077066XE,Approved,2007-08-05,2007-08-05,2007-08-05,No,No,"United States","Working Capital",N/A,"Individual Delegated Authority",425120,"Wholesale Trade Agents and Brokers","Short Term","Pnc Bank, National Association","Pnc Bank, National Association","Hpe Inc",Cincinnati,OH,Ohio,"Hpe Inc","Hpe Inc",Yes,3600000,3600000,0,0,3600000,0,0,N/A,,NULL
